ticker,feature_set,model_type,window_size,hidden_size,dropout,best_epoch,stopped_epoch,best_val_loss,test_loss,test_RMSE,test_MAE,test_MAPE,train_samples,validation_samples,test_samples,input_shape,device,best_model_path,output_dir
AAPL,baseline,gru,20,64,0.2,298,318,24.406391280038015,2084.4873680538603,42.42417907714844,34.14358139038086,14.512996673583984,1948,216,548,"[20, 5]",cuda,ultimate_training_runs/20260327_011156_AAPL_baseline_gru_w20_d0p2/best_model.pt,ultimate_training_runs/20260327_011156_AAPL_baseline_gru_w20_d0p2
AAPL,baseline,lstm,20,64,0.2,243,263,25.091660976409912,2021.7465862168206,41.785911560058594,33.54068374633789,14.245462417602539,1948,216,548,"[20, 5]",cuda,ultimate_training_runs/20260327_011101_AAPL_baseline_lstm_w20_d0p2/best_model.pt,ultimate_training_runs/20260327_011101_AAPL_baseline_lstm_w20_d0p2
AAPL,proposed,gru,20,64,0.2,238,258,32.408404282161165,6875.796643575032,72.19294738769531,49.31540298461914,20.462053298950195,1948,216,548,"[20, 12]",cuda,ultimate_training_runs/20260327_011347_AAPL_proposed_gru_w20_d0p2/best_model.pt,ultimate_training_runs/20260327_011347_AAPL_proposed_gru_w20_d0p2
AAPL,proposed,lstm,20,64,0.2,228,248,27.193560464041575,2781.2681503825715,48.394561767578125,38.957427978515625,16.557741165161133,1948,216,548,"[20, 12]",cuda,ultimate_training_runs/20260327_011258_AAPL_proposed_lstm_w20_d0p2/best_model.pt,ultimate_training_runs/20260327_011258_AAPL_proposed_lstm_w20_d0p2
MSFT,baseline,gru,20,64,0.2,289,309,44.137447357177734,12006.244913736979,107.2486343383789,96.59880828857422,21.293420791625977,1948,216,548,"[20, 5]",cuda,ultimate_training_runs/20260327_011539_MSFT_baseline_gru_w20_d0p2/best_model.pt,ultimate_training_runs/20260327_011539_MSFT_baseline_gru_w20_d0p2
MSFT,baseline,lstm,20,64,0.2,284,304,44.65452493940081,11494.796569824219,104.92569732666016,94.49188995361328,20.827341079711914,1948,216,548,"[20, 5]",cuda,ultimate_training_runs/20260327_011438_MSFT_baseline_lstm_w20_d0p2/best_model.pt,ultimate_training_runs/20260327_011438_MSFT_baseline_lstm_w20_d0p2
MSFT,proposed,gru,20,64,0.2,225,245,52.77046775817871,51346.25689019097,220.95184326171875,186.19508361816406,40.48861312866211,1948,216,548,"[20, 12]",cuda,ultimate_training_runs/20260327_011744_MSFT_proposed_gru_w20_d0p2/best_model.pt,ultimate_training_runs/20260327_011744_MSFT_proposed_gru_w20_d0p2
MSFT,proposed,lstm,20,64,0.2,306,326,32.89921161106655,48327.891574435766,218.70619201660156,178.57113647460938,38.68095397949219,1948,216,548,"[20, 12]",cuda,ultimate_training_runs/20260327_011639_MSFT_proposed_lstm_w20_d0p2/best_model.pt,ultimate_training_runs/20260327_011639_MSFT_proposed_lstm_w20_d0p2
TSLA,baseline,gru,20,64,0.2,296,316,61.5329213823591,1224.7971399095322,29.718353271484375,18.246423721313477,5.168285369873047,1948,216,548,"[20, 5]",cuda,ultimate_training_runs/20260327_011916_TSLA_baseline_gru_w20_d0p2/best_model.pt,ultimate_training_runs/20260327_011916_TSLA_baseline_gru_w20_d0p2
TSLA,baseline,lstm,20,64,0.2,204,224,78.71299362182617,1989.362001630995,38.0915641784668,22.83942413330078,6.329446315765381,1948,216,548,"[20, 5]",cuda,ultimate_training_runs/20260327_011832_TSLA_baseline_lstm_w20_d0p2/best_model.pt,ultimate_training_runs/20260327_011832_TSLA_baseline_lstm_w20_d0p2
